,Occupational_Category,Number_of_Full_Time_Year_Round_Workers_Total_Estimate,Number_of_Full_Time_Year_Round_Workers_Total_MOE,Number_of_Full_Time_Year_Round_Workers_Men_Estimate,Number_of_Full_Time_Year_Round_Workers_Men_MOE,Number_of_Full_Time_Year_Round_Workers_Women_Estimate,Number_of_Full_Time_Year_Round_Workers_Women_MOE,Percentage_of_Women_in_Occupational_Category_Estimate,Percentage_of_Women_in_Occupational_Category_MOE,Median_Earnings_In_Dollars_Total_Estimate,Median_Earnings_In_Dollars_Total_MOE,Median_Earnings_In_Dollars_Men_Estimate,Median_Earnings_In_Dollars_Men_MOE,Median_Earnings_In_Dollars_Women_Estimate,Median_Earnings_In_Dollars_Women_MOE,Womens_Earnings_As_A_Percentage_of_Mens_Earnings_Estimate,Womens_Earnings_As_A_Percentage_of_Mens_Earnings_MOE
0,Total,106609098,133999,60708461.0,96733,45900637.0,88317,43.05508429,0.1,45860,66,50741,54,40675,54,80.2,0.1
1,"Management, Business, Science, and Arts Occupations",44274859,130437,22578160.0,79447,21696699.0,82092,49.00455809,0.1,65004,161,76692,155,55474,144,72.3,0.3
2,"Management, Business, and Financial Occupations",19812917,75230,11195064.0,55370,8617853.0,46676,43.49613437,0.2,70602,135,80473,201,60751,124,75.5,0.2
3,Management Occupations,13689475,62435,8380083.0,44079,5309392.0,40577,38.78448224,0.2,73688,473,81829,235,62254,175,76.1,0.3
4,Chief executives,1068258,17593,813898.0,14815,254360.0,7288,23.81072737,0.6,130266,1910,141108,1375,103564,4259,73.39342915,3.1
5,General and operations managers,834005,12760,588111.0,9849,245894.0,8348,29.48351629,0.9,70686,627,76246,776,56906,1111,74.63473494,1.6
6,Legislators,13966,1709,7431.0,1235,6535.0,1456,46.79220965,8.7,65592,5454,67233,12792,63788,10085,94.87602814,23.5
7,Advertising and promotions managers,42996,3032,17752.0,1984,25244.0,2262,58.71243837,3.2,67082,3498,79594,6833,61173,3088,76.8562957,7.7
8,Marketing and sales managers,843840,15667,464995.0,10519,378845.0,10042,44.89535931,0.8,82357,1263,100137,1477,69079,2413,68.98449125,2.6
9,Public relations and fundraising managers,51121,3755,16705.0,1963,34416.0,3046,67.32262671,3.3,77835,4128,84016,7323,75260,3792,89.57817559,9
10,Administrative services managers,136431,5932,82550.0,4394,53881.0,4158,39.49322368,2.5,64208,1927,69788,3102,60177,1731,86.2282914,4.6
11,Computer and information systems managers,564747,10510,413250.0,9263,151497.0,5243,26.82564051,0.8,103513,1960,107411,1908,95603,2703,89.00671253,3
12,Financial managers,1067163,18404,506068.0,10743,561095.0,14469,52.57819096,1.0,76178,753,100505,689,62089,579,61.77702602,0.7
14,Human resources managers,369518,9073,143842.0,5734,225676.0,7354,61.07307357,1.3,72008,801,77463,4593,70342,1351,90.80722409,5.7
15,Training and development managers,49960,3854,23959.0,2914,26001.0,3042,52.04363491,4.6,72153,4805,82392,7206,64686,5535,78.51004952,9.6
16,Industrial production managers,220263,7532,176191.0,6559,44072.0,3231,20.00880765,1.3,76077,1099,77262,1807,70073,4005,90.69529652,5.6
17,Purchasing managers,181255,6560,94445.0,5029,86810.0,4236,47.89385120000001,1.6,76501,1625,82307,2505,70023,2812,85.07538848,4.3
18,"Transportation, storage, and distribution managers",222794,7309,182671.0,7383,40123.0,3402,18.00901281,1.4,52485,1573,52318,1091,54796,3599,104.7364196,7.2
19,"Farmers, ranchers, and other agricultural managers",451680,9794,400989.0,9109,50691.0,3094,11.22276833,0.6,41404,525,42190,737,30405,1257,72.06684048,3.2
20,Construction managers,573250,12237,528329.0,11869,44921.0,3637,7.836197122000001,0.6,71331,693,71907,803,62218,3121,86.52565119,4.4
21,Education administrators,747962,12539,282062.0,8717,465900.0,8797,62.28926068,0.5,70748,476,80380,827,64509,1589,80.25503857,2.1
22,Architectural and engineering managers,144812,5961,131956.0,5939,12856.0,1857,8.877717316,1.2,130293,2326,130300,2512,130255,6336,99.96546431,5.2
23,Food service managers,792807,16772,436773.0,11837,356034.0,11181,44.90802932,1.0,38380,1296,42601,1510,31861,485,74.78932419,2.9
25,Gaming managers,15477,1758,10129.0,1417,5348.0,1170,34.55450023,6.5,55674,5819,56664,8926,52872,6227,93.30792037,18.4
26,Lodging managers,107568,5734,50893.0,3792,56675.0,4558,52.68760226,3.2,45875,1807,51697,1832,41285,1145,79.85956632,3.6
27,Medical and health services managers,606615,11531,176012.0,6730,430603.0,9999,70.98456187,0.9,71739,750,87311,3047,66855,876,76.57110788,2.9
28,Natural sciences managers,17916,1981,8464.0,1527,9452.0,1392,52.7573119,5.1,92161,11812,111817,10376,76768,9964,68.65503457,11
29,Postmasters and mail superintendents,20947,2406,11398.0,1820,9549.0,1304,45.58648016,3.4,71429,948,72401,3138,67745,4019,93.5691496,6.9
30,"Property, real estate, and community association managers",459115,10712,233710.0,7103,225405.0,7807,49.09554251,1.3,51957,590,61797,1225,46405,788,75.09264204,2
31,Social and community service managers,296269,8924,91027.0,4183,205242.0,7693,69.27555701,1.5,56610,773,68388,3529,52444,1006,76.6859683,4.2
33,"Managers, all other",3758629,31438,2472383.0,25093,1286246.0,18609,34.22114819,0.4,78843,1058,84600,1380,67769,1311,80.10520095,2
34,Business and Financial Operations Occupations,6123442,37510,2814981.0,29961,3308461.0,25111,54.02943312,0.3,63511,458,74011,863,56897,298,76.9,1
35,"Agents and business managers of artists, performers, and athletes",33337,3818,17328.0,2356,16009.0,2227,48.02171761,3.8,51728,2495,55328,7454,50761,3937,91.74558994,14.3
37,"Wholesale and retail buyers, except farm products",139871,6122,71088.0,4447,68783.0,4294,49.17602648,2.2,41625,876,41612,1574,41637,1247,100.0600788,4.8
38,"Purchasing agents, except wholesale, retail, and farm products",253717,7897,122410.0,5830,131307.0,5213,51.75333147,1.3,54740,1558,60366,989,51121,620,84.68508763,1.7
39,"Claims adjusters, appraisers, examiners, and investigators",271129,9435,105531.0,5150,165598.0,7308,61.07719941,1.7,52582,1135,60840,870,50024,966,82.22222222,2
40,Compliance officers,226344,7585,107204.0,5395,119140.0,5702,52.63669459,1.8,69262,2222,73211,3041,64588,2074,88.22171532,4.6
41,Cost estimators,122804,5612,105522.0,5415,17282.0,1900,14.0728315,1.4,63106,1804,65805,1115,49752,3618,75.60519717,5.6
42,Human resources workers,678049,13678,188438.0,7495,489611.0,11789,72.20879317,0.9,57369,884,66412,1923,54975,1061,82.77871469,2.9
43,"Compensation, benefits, and job analysis specialists",47978,3563,10731.0,1783,37247.0,3095,77.63349869,2.9,54108,3093,62886,6056,51522,1426,81.92920523,8.2
44,Training and development specialists,111303,5046,50284.0,3499,61019.0,3700,54.82242168,2.2,58739,3093,65332,3572,52456,2925,80.29143452,6.3
45,Logisticians,117328,4387,77464.0,3784,39864.0,3154,33.97654439,2.4,52260,1148,55233,1921,50220,1476,90.92390419,4.1
46,Management analysts,630863,11588,369877.0,8099,260986.0,8942,41.36967931,1.2,83080,1848,91169,977,76338,975,83.73240904,1.4
47,"Meeting, convention, and event planners",96349,5575,24116.0,2970,72233.0,4805,74.97016056,2.5,46598,1026,42729,4863,47221,1374,110.5127665,13
48,Fundraisers,68581,3864,20709.0,2101,47872.0,3118,69.80358992,2.3,66048,1339,77186,9364,64272,2599,83.2689866,10.6
49,Market research analysts and marketing specialists,237008,8119,103644.0,5151,133364.0,5503,56.26983055,1.3,70985,993,82565,4481,64398,2652,77.99672985,5.3
50,"Business operations specialists, all other",236553,8302,110674.0,5355,125879.0,6288,53.21386751,1.9,61811,1228,73014,3286,52499,2293,71.90264881,4.5
51,Accountants and auditors,1628824,22541,656553.0,14897,972271.0,16071,59.69159344,0.5,63740,912,76129,621,57370,659,75.35893024,1.1
52,Appraisers and assessors of real estate,73690,4418,50409.0,3624,23281.0,2152,31.59316054,2.2,60533,1628,62298,4197,50291,3046,80.72650807,7.3
53,Budget analysts,42410,3427,16123.0,1854,26287.0,2747,61.98302287,4.1,71237,1973,75399,3473,68955,3569,91.45346755,6.3
54,Credit analysts,26382,3164,12589.0,1965,13793.0,2163,52.28185884,5.3,53909,3990,58520,6984,51419,3667,87.86568694,12.2
55,Financial analysts,194932,7214,117808.0,6083,77124.0,4304,39.56456611,1.7,82415,1852,93203,3858,73427,3190,78.78179887,4.7
56,Personal financial advisors,327459,9846,231444.0,8128,96015.0,5586,29.321228,1.5,91150,1655,101634,671,69479,3771,68.36196548,3.7
57,Insurance underwriters,98194,5002,36949.0,3007,61245.0,3940,62.37142799,2.5,61197,1135,73389,7779,56465,2151,76.93932333,8.7
58,Financial examiners,14812,1953,7827.0,1286,6985.0,1320,47.15770996,6.4,79594,5959,85285,7644,70328,13446,82.46233218,17.4
59,Credit counselors and loan officers,292543,8986,132203.0,5552,160340.0,7578,54.80903662,2.0,59219,2493,76686,1909,50325,967,65.6247555,2.1
60,"Tax examiners and collectors, and revenue agents",42395,3249,15901.0,2073,26494.0,2571,62.49321854,3.7,51797,1530,61586,8308,50296,2578,81.66791154,11.8
61,Tax preparers,55325,4097,23690.0,2521,31635.0,3014,57.18029824,3.4,55336,5668,70019,7630,48033,5006,68.59995144,10.3
62,"Financial specialists, all other",47467,3908,22881.0,2944,24586.0,2961,51.79598458,4.6,61271,3251,85274,14545,50828,1410,59.60550695,10.3
63,"Computer, Engineering, and Science Occupations",7336002,43466,5591448.0,36470,1744554.0,19131,23.78071871,0.2,80279,200,82347,225,70044,522,85.1,0.7
64,Computer and Mathematical Occupations,3884352,31439,2925768.0,25626,958584.0,14793,24.67809303,0.3,81760,262,85427,389,72472,668,84.8,0.8
66,Computer systems analysts,448325,10327,267043.0,7574,181282.0,6780,40.43539843,1.2,80219,746,85192,1333,72409,1206,84.99506996,1.9
67,Information security analysts,74659,4899,60291.0,4531,14368.0,1866,19.24483317,2.2,91119,1551,93450,4083,85895,3003,91.91546281,5.1
68,Computer programmers,370512,8545,293334.0,7989,77178.0,4584,20.83009457,1.1,85795,984,87064,1230,80528,1894,92.4928788,2.5
69,"Software developers, applications and systems software",1124661,17640,918865.0,15065,205796.0,6981,18.29849172,0.6,100760,271,101969,303,88759,2138,87.04508233,2.1
70,Web developers,138048,6567,92611.0,5629,45437.0,3506,32.913914,2.0,63173,2765,67356,2918,56860,3695,84.41712691,6.6
71,Computer support specialists,553718,12831,418848.0,11133,134870.0,5399,24.35716375,0.8,58027,1361,60363,519,52699,1615,87.30348061,2.8
72,Database administrators,99602,4790,62319.0,3801,37283.0,2982,37.43197928,2.4,81082,1480,90749,1601,60838,3557,67.03985719,4.1
73,Network and computer systems administrators,192293,8319,157000.0,6976,35293.0,3051,18.35376223,1.4,73483,1528,74896,1317,69127,3204,92.29731895,4.6
74,Computer network architects,92872,5520,86504.0,5092,6368.0,1191,6.856749074,1.2,98374,3658,98123,3786,100471,7586,102.392915,8.7
75,"Computer occupations, all other",569272,12347,445016.0,10826,124256.0,5734,21.82717576,0.9,70492,568,71112,579,66521,1650,93.54398695,2.4
76,Actuaries,25197,2362,17769.0,2222,7428.0,1184,29.47969996,3.8,108576,14551,125465,16694,92500,20780,73.72574025,19.2
78,Operations research analysts,126989,6477,63903.0,4533,63086.0,4077,49.67831859,2.0,81092,1232,85955,3173,76005,2335,88.42417544,4.2
79,Statisticians,47469,3479,26411.0,2658,21058.0,1875,44.36158335,2.2,81345,1780,82414,5556,80027,4783,97.10364744,8.7
81,Architecture and Engineering Occupations,2437331,27689,2095090.0,25128,342241.0,8204,14.04162996,0.3,81125,294,82192,323,71072,864,86.5,1.1
82,"Architects, except naval",157568,6129,119954.0,5111,37614.0,3103,23.87159829,1.7,76154,1239,81075,1188,61765,2415,76.18254702,3.2
84,Aerospace engineers,114956,5336,102611.0,4675,12345.0,1796,10.7388914,1.5,102350,1710,104133,3268,91982,7191,88.33126867,7.4
87,Chemical engineers,57812,4519,46688.0,3930,11124.0,1608,19.24167993,2.3,100425,2172,101626,1712,84137,4255,82.79082125,4.4
88,Civil engineers,311007,9892,271698.0,8963,39309.0,2913,12.63926535,0.8,86606,1312,89218,2506,75052,2312,84.12203815,3.5
90,Electrical and electronics engineers,186214,7532,171539.0,7365,14675.0,2080,7.880717884,1.1,96538,2002,98702,2527,81370,3031,82.44007214,3.7
91,Environmental engineers,27552,3135,19945.0,2517,7607.0,1459,27.60961092,4.3,80421,2937,81736,5839,75468,7563,92.33140844,11.4
92,"Industrial engineers, including health and safety",183615,7332,145311.0,6717,38304.0,2861,20.86104076,1.3,79761,1588,80491,900,75753,3357,94.11362761,4.3
95,Mechanical engineers,245579,8235,228477.0,8105,17102.0,1789,6.963950501,0.7,84486,2045,84537,2133,84034,4115,99.40499426,5.5
99,"Engineers, all other",471817,11936,411849.0,11066,59968.0,3846,12.71001257,0.7,93058,1491,95214,1426,85464,2782,89.75990926,3.2
100,Drafters,132332,6076,110629.0,4998,21703.0,2259,16.40041713,1.5,52899,1627,54290,1837,50363,2315,92.76662369,5.3
101,"Engineering technicians, except drafters",319240,9931,262975.0,8372,56265.0,4238,17.62467109,1.2,55953,941,58274,2387,48448,2980,83.13827779,6.1
103,"Life, Physical, and Social Science Occupations",1014319,14887,570590.0,12095,443729.0,10670,43.74649395,0.8,65257,664,70191,1097,60646,505,86.4,1.5
104,Agricultural and food scientists,21091,2172,13559.0,1624,7532.0,1378,35.71191503,5.4,70220,6919,71570,5303,64842,8448,90.59941316,13.6
105,Biological scientists,65111,3923,35893.0,2892,29218.0,2288,44.87413801,2.2,61171,2112,65122,4152,56853,3383,87.30229416,7.6
107,Medical scientists,116550,5853,54653.0,3917,61897.0,3557,53.10767911,1.5,74534,3407,80827,4765,71175,1397,88.05844582,5.5
111,Chemists and materials scientists,77023,3754,49013.0,3267,28010.0,2854,36.36576088,3.3,70594,1955,75433,5342,63426,3315,84.08256333,7.4
112,Environmental scientists and geoscientists,63449,3530,42834.0,2849,20615.0,2462,32.49066179,3.4,72831,3408,79279,3639,60315,3285,76.07941573,5.4
113,"Physical scientists, all other",192236,6269,115118.0,5130,77118.0,4163,40.11631536,1.7,77439,2638,87134,4267,65913,2051,75.64555742,4.4
114,Economists,21747,2373,15164.0,1895,6583.0,1155,30.27084196,4.2,109562,8262,111514,9490,103723,9634,93.01343329,11.7
116,Psychologists,121887,4749,37701.0,2647,84186.0,4290,69.06889168,2.3,72789,2655,90586,3924,69134,2387,76.31863643,4.2
117,Urban and regional planners,21747,1979,12910.0,1733,8837.0,1262,40.63548995,4.5,70647,4263,74634,4955,65309,3397,87.50569446,7.4
118,"Miscellaneous social scientists and related workers, including sociologists",24486,2821,12996.0,1819,11490.0,1643,46.92477334,4.0,61924,4687,67455,8319,57068,7438,84.60158624,15.2
119,Agricultural and food science technicians,27668,2549,16564.0,2074,11104.0,1523,40.13300564,4.1,45039,3152,48340,2312,40927,2362,84.66487381,6.3
120,Biological technicians,16216,2009,8401.0,1437,7815.0,1652,48.19314258,8.3,49041,4092,50495,3626,44796,9207,88.71373403,19.3
121,Chemical technicians,56741,3837,40491.0,3477,16250.0,1818,28.63890309,2.6,52188,2226,54898,3467,48580,2509,88.49138402,7.2
125,"Miscellaneous life, physical, and social science technicians",127222,6153,69211.0,4392,58011.0,3912,45.59824559,2.1,42673,1664,45323,2140,41614,974,91.816517,4.8
126,"Education, Legal, Community Service, Arts, and Media Occupations",10566994,56398,3984993.0,29074,6582001.0,45549,62.28830072,0.2,50890,94,59998,551,47103,161,78.5,0.8
127,Community and Social Service Occupations,1965931,21495,706430.0,12658,1259501.0,17781,64.06638889999999,0.5,44265,463,45984,436,42947,581,93.4,1.6
128,Counselors,536072,11247,148955.0,5823,387117.0,9582,72.21362056,0.9,45356,422,46279,878,45007,815,97.25145314,2.6
129,Social workers,704192,14698,133995.0,5945,570197.0,12503,80.97180882,0.5,44669,761,44973,1601,44603,846,99.17728415,4
130,Probation officers and correctional treatment specialists,81680,4787,37849.0,3379,43831.0,3151,53.66185113,2.2,48545,1943,48620,2398,48480,2568,99.71205265,7.2
131,Social and human service assistants,146414,6565,32813.0,3199,113601.0,5281,77.58889177,1.0,37732,1286,39459,3550,37450,1151,94.90863935,9
