,Occupational_Category,Number_of_Full_Time_Year_Round_Workers_Total_Estimate,Number_of_Full_Time_Year_Round_Workers_Total_MOE,Number_of_Full_Time_Year_Round_Workers_Men_Estimate,Number_of_Full_Time_Year_Round_Workers_Men_MOE,Number_of_Full_Time_Year_Round_Workers_Women_Estimate,Number_of_Full_Time_Year_Round_Workers_Women_MOE,Percentage_of_Women_in_Occupational_Category_Estimate,Percentage_of_Women_in_Occupational_Category_MOE,Median_Earnings_In_Dollars_Total_Estimate,Median_Earnings_In_Dollars_Total_MOE,Median_Earnings_In_Dollars_Men_Estimate,Median_Earnings_In_Dollars_Men_MOE,Median_Earnings_In_Dollars_Women_Estimate,Median_Earnings_In_Dollars_Women_MOE,Womens_Earnings_As_A_Percentage_of_Mens_Earnings_Estimate,Womens_Earnings_As_A_Percentage_of_Mens_Earnings_MOE
450,Food batchmakers,63244,4452,28012.0,2385,35232.0,3626,55.70805136,4.2,27101,760,31939,1389,25315,963,79.26046526,4.6
452,"Food processing workers, all other",113094,5689,74917.0,4384,38177.0,3288,33.75687481,2.4,31967,542,34446,2672,29998,1924,87.08703478,8.8
453,Computer control programmers and operators,84907,4120,77415.0,4209,7492.0,1461,8.823771892,1.7,44235,2280,45373,1290,35785,2082,78.86849007,5.1
457,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",73711,4745,61267.0,4065,12444.0,1771,16.88214785,2.1,32249,557,33096,1845,29971,2491,90.55777133,9.1
462,Machinists,297165,8595,284315.0,8264,12850.0,1922,4.324196995,0.6,46666,620,47139,616,32065,2544,68.02223212,5.5
465,"Molders and molding machine setters, operators, and tenders, metal and plastic",33959,3206,28251.0,2702,5708.0,1424,16.80850437,3.9,35532,2033,37402,2218,29056,2224,77.68568526,7.5
468,"Welding, soldering, and brazing workers",475547,11769,449552.0,11970,25995.0,2549,5.466336661000001,0.5,40394,312,40770,313,31097,1236,76.27422124,3.1
473,"Metal workers and plastic workers, all other",326498,10828,258055.0,9788,68443.0,4278,20.96276241,1.1,35076,697,36748,558,29096,1262,79.17709807,3.6
474,Prepress technicians and workers,17187,1965,9888.0,1582,7299.0,1073,42.46814453,3.9,36257,1863,41563,3889,30647,3221,73.7362558,10.4
475,"Printing workers, except prepress technicians and workers",157832,6671,125189.0,5845,32643.0,3200,20.68211769,1.8,37214,814,40598,565,28722,1659,70.74732745,4.2
